"Subset","Detail"
"5v0_Down_30v5_Up","Grik3"
"5v0_Down_30v5_Up","Hcn1"
"5v0_Down_30v5_Up","Hdac6"
"5v0_Down_30v5_Up","Kcnc2"
"5v0_Down_30v5_Up","Lingo1"
"5v0_Down_30v5_Up","Lrrc8b"
"5v0_Down_30v5_Up","Lrrn2"
"5v0_Down_30v5_Up","Magi2"
"5v0_Down_30v5_Up","Mast3"
"5v0_Down_30v5_Up","Mink1"
"5v0_Down_30v5_Up","Minpp1"
"5v0_Down_30v5_Up","Nedd8"
"5v0_Down_30v5_Up","Nsf"
"5v0_Down_30v5_Up","Pacsin1"
"5v0_Down_30v5_Up","Pcdh1"
"5v0_Down_30v5_Up","Pef1"
"5v0_Down_30v5_Up","Rps6ka2"
"5v0_Down_30v5_Up","Samd8"
"5v0_Down_30v5_Up","Sema6b"
"5v0_Down_30v5_Up","Slc7a14"
"5v0_Down_30v5_Up","Slitrk4"
"5v0_Down_30v5_Up","Smg7"
"5v0_Down_30v5_Up","Spock1"
"5v0_Down_30v5_Up","Stxbp1"
"5v0_Down_30v5_Up","Syt1"
"5v0_Down_30v5_Up","Tecpr1"
"5v0_Down_30v5_Up","Tmem88b"
"5v0_Down_30v5_Up","Tnfrsf21"
"5v0_Down_30v5_Up","Tubb5"
"5v0_Down_30v5_Up","Ube2h"
"5v0_Down_30v5_Up","Ywhae"
"5v0_Down_30v5_Up","Zfp281"
"5v0_Up","6430548M08Rik"
"5v0_Up","Aamp"
"5v0_Up","Ahsa1"
"5v0_Up","Akap13"
"5v0_Up","Appl1"
"5v0_Up","Arl14ep"
"5v0_Up","Arl6ip1"
"5v0_Up","Atp5mc1"
"5v0_Up","Atrip"
"5v0_Up","Bex1"
"5v0_Up","Bmpr1b"
"5v0_Up","Cdc37l1"
"5v0_Up","Cdk17"
"5v0_Up","Chchd6"
"5v0_Up","Cldn34c1"
"5v0_Up","Coq2"
"5v0_Up","Ece1"
"5v0_Up","Fnbp1l"
"5v0_Up","Gart"
"5v0_Up","Gcc2"
"5v0_Up","Gps1"
"5v0_Up","Grik2"
"5v0_Up","Gtf2a1"
"5v0_Up","Guk1"
"5v0_Up","Hnrnpu"
"5v0_Up","Ipo7"
"5v0_Up","Itch"
"5v0_Up","Jmjd1c"
"5v0_Up","Kcnn2"
"5v0_Up","Kif2a"
"5v0_Up","Kifap3"
"5v0_Up","Krt222"
"5v0_Up","Mcu"
"5v0_Up","Mex3c"
"5v0_Up","Mkln1"
"5v0_Up","Necab1"
"5v0_Up","Nedd9"
"5v0_Up","Nol11"
"5v0_Up","Npr3"
"5v0_Up","Oplah"
"5v0_Up","Pakap"
"5v0_Up","Pde4b"
"5v0_Up","Pdlim5"
"5v0_Up","Pdzrn3"
"5v0_Up","Peli2"
"5v0_Up","Phf20l1"
"5v0_Up","Plpp7"
"5v0_Up","Pou3f1"
"5v0_Up","Prlr"
"5v0_Up","Qki"
"5v0_Up","Rab43"
"5v0_Up","Rap1b"
"5v0_Up","Rbl2"
"5v0_Up","Rbms2"
